==== DOOLITTLE METHOD ====
x53 = -0.817521
x54 = -1.0369
x55 = -1.59581
x56 = -2.43433
x57 = -2.43825
x58 = -3.11399
x59 = -5.18444
x60 = -0.879727
x61 = 5.36827
x62 = 2.26561
x63 = 2.16962
x64 = 7.84227
x65 = 7.33613
x66 = -0.575143
x67 = 0.41151
x68 = -0.98763
x69 = -1.33016
x70 = -1.0859
x71 = -1.01751
x72 = -1.56541
x73 = -0.0595212
x74 = 1.64332
x75 = -2.31712
x76 = -8.04884
x77 = -3.12331
x78 = 1.88711
x79 = 6.58625
x80 = 6.42834
x81 = -1.37958
x82 = -1.4901
x83 = -0.349003
x84 = -0.270256
x85 = -0.619767
x86 = -0.365147
x87 = 0.235683
x88 = -1.37036
x89 = -2.75089
x90 = 0.337238
x91 = 5.07902
x92 = 2.17306
x93 = 1.81996
x94 = 6.76197
x95 = 6.56027
x96 = 0.0688239
x97 = 1.29682
x98 = -0.333073
x99 = -0.331753
x100 = 0.0395943
x101 = -0.43506
x102 = -1.10462
x103 = -0.0482451
x104 = 0.849776
x105 = -3.11168
x106 = -8.98497
x107 = -3.55463
x108 = 1.56304
x109 = 5.47548
x110 = 5.78195
x111 = -1.32524
x112 = -1.71211
x113 = 0.0840303
x114 = -0.077726
x115 = -0.65519
x116 = -0.552802
x117 = 0.0212224
x118 = -1.18048
x119 = -2.07034
x120 = 2.24027
x121 = 9.4441
x122 = 3.87144
x123 = 1.80663
x124 = 7.04005
x125 = 7.51784
x126 = 1.31213
x127 = 3.0214
x128 = 0.00804449
x129 = 0.0886936
x130 = 0.733202
x131 = 0.186687
x132 = -0.884255
x133 = 0.00329095
x134 = 0.752913
x135 = -6.17062
x136 = -17.311
x137 = -6.79805
x138 = 1.86696
x139 = 6.37754
x140 = 8.7013
x141 = 1.78461
x142 = -0.00808424
x143 = 1.96469
x144 = 2.0402
x145 = 1.44085
x146 = 0.068632
x147 = -0.399035
x148 = -2.01706
x149 = -3.20225
x150 = 6.50419
x151 = 24.1178
x152 = 9.65317
x153 = 3.93311
x154 = 15.8744
x155 = 23.921
x156 = 24.368
x157 = 27.2363
x158 = 4.68022
x159 = 4.96338
x160 = 10.8609
x161 = 8.00203
x162 = -1.36012
x163 = -0.332331
x164 = 1.89163
x165 = -16.8555
x166 = -46.2848
x167 = -18.3256
x168 = 10.0876
x169 = 35.3896
x170 = 65.3219
x171 = 86.5299
x172 = 90.8705
x173 = 14.0746
x174 = 12.7749
x175 = 31.5493
x176 = 29.026
x177 = -0.894996
x178 = -7.56703
x179 = -6.36847
x180 = 7.24525
x181 = 54.7299
x182 = 24.4824
x183 = 27.1913
x184 = 129.104
x185 = 236.519
x186 = 293.75
x187 = 465.368
x188 = 14.9448
x189 = 4.72784
x190 = 92.9773
x191 = 129.182
x192 = -3.94364
x193 = -7.93716
x194 = 43.0091
x195 = -41.6565
x196 = -147.132
x197 = -71.2489
x198 = 17.9374
x199 = 109.963
x200 = 510.365
x201 = 494.452
x202 = 1040.37
x203 = 4.26983
x204 = -20.2214
x205 = 152.143
x206 = 276.028
x207 = -1.38455
x208 = -40.7624
x209 = 39.8213
x210 = 66.2666
x211 = -4.28204
x212 = 20.7183
x213 = 56.1933
x214 = -200.867
x215 = 206.286
x216 = 196.442
x217 = 370.331
x218 = 21.0049
x219 = 3.93574
x220 = 57.8757
x221 = 98.5356
x222 = 7.79455
x223 = -20.475
x224 = 1.22899
x225 = 38.1175

==== CHOLESKY FAILED (Matrix not SPD) ====

